Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Tier 4,Clean Path NY (CPNY),T4RFP21-1,,,,,,Wind/Solar,,,Clean Path New York LLC,Forward Power (a joint venture of Invenergy and energyRe) and the New York Power Authority,1168,,,,,Article 7,https://www.cleanpathny.com/public-documents,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-T-0558,,,,,Cancelled,,,25,,,7870865,,,,1300,
12/11/2024,Tier 1,Clear View Solar,RESRFP22-1,,,79.98,Yes,,Solar,New,,Clear View Solar LLC,VC Renewables,,,Central,,1003,SEQR,,,14808,Steuben,NY,Southern Tier,Under Development,,2026,20,19.99,19.99,42377,50852,,,,POINT (-77.47228 42.55434)
12/11/2024,Tier 1,Clear View Solar,RESRFP20-1,,,43.23,Yes,,Solar,New,,Clear View Solar LLC,Oriden Power,,,Central,,1003,SEQR,,,14808,Steuben,NY,Southern Tier,Cancelled,,,20,20,19.99,40822,48986,,,,POINT (-77.47228 42.55434)
12/11/2024,Non-Tier 1,Clinton Co.,2389,,24.99,,Yes,Yes,Biogas - LFG,,,,,,,North,,,,,,12962,Clinton,NY,North Country,Completed,2012,2012,10,6.4,1.28,6275,6275,,,,POINT (-73.56636 44.69294)
12/11/2024,Non-Tier 1,Clinton Wind,1037,,14.85,,Yes,Yes,Land Based Wind,,,,,,,North,,,,,,12962,Clinton,NY,North Country,Completed,2008,2008,10,100.5,95.5,172140,180747,,,,POINT (-73.56636 44.69294)
12/11/2024,Non-Tier 1,Cody Road,2554,,33.00,,,,Land Based Wind,New,,,,,,Central,,,,,,13035,Madison,NY,Central New York,Cancelled,,,10,10,9.5,27463,27463,,,,POINT (-75.84845 42.9296)
12/11/2024,Tier 1,Coeymans Solar,3257,,,76.52,Yes,,Solar,New,,Hecate Energy Albany 1 LLC,Greenbacker Renewable Energy Company,,,Capital,323833,570,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,,12158,Albany,NY,Capital Region,Operational,2023,2024,20,20,20,36084,43300,,,,POINT (-73.79876 42.53269)
12/11/2024,Non-Tier 1,Cohocton,1037,,19.94,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,2009,10,87.5,8.3,21247,23372,,,,POINT (-77.51062 42.50697)
12/11/2024,Tier 1,Cohocton Wind Project,RESRFP19-1,,18.50,,Yes,,Land Based Wind,Existing,Upgrade,"Canandaigua Power Partners, LLC",Brookfield Renewable,,,Central,323617,,SEQR,,,14826,Steuben,NY,Southern Tier,Operational,2021,2022,20,37.09,35.75,97083,116499,,,,POINT (-77.51062 42.50697)
12/11/2024,Non-Tier 1,Cohocton*,1168,,16.50,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009,2009,10,,26.3,65700,65700,,,,POINT (-77.51062 42.50697)
12/11/2024,Non-Tier 1,Colton,1037,,8.25,,,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,13625,St Lawrence,NY,North Country,Completed,2007,2008,10,0.7,0.7,4410,4851,,,,POINT (-74.94156 44.55449)
